RMM Index only for strong MJOs (amplitude>1)
Year,Mon,Day,PC1,PC2,Phase,Amplitude
1976,5,4,1.52153,-1.4984601,4,2.13552
1976,5,15,-1.06318,1.75324,7,2.05041
1976,8,25,1.0234801,-1.78303,3,2.05590
1976,8,26,1.0061899,-1.90944,3,2.15833
1976,9,10,0.541372,1.99712,6,2.06920
1976,9,11,0.778705,2.2614901,6,2.39180
1976,9,12,0.67730802,2.3213301,6,2.41812
1976,9,13,0.52843398,2.24825,6,2.30952
1976,9,14,0.29480401,1.97883,6,2.00067
1976,9,16,-0.37988999,2.1071701,7,2.14114
1976,9,17,-0.34266001,2.0362401,7,2.06487
1976,9,18,-0.53694999,1.9335099,7,2.00669
1976,10,5,-1.43715,-1.4195499,1,2.02003
1976,10,6,-1.2726099,-1.56617,2,2.01803
1976,11,16,0.0819964036,-2.00807,3,2.00974
1976,11,17,0.432877,-1.95394,3,2.00131
1976,11,18,0.82081598,-2.0499101,3,2.20814
1976,11,19,1.2215,-1.95567,3,2.30579
1976,11,20,1.56066,-1.96998,3,2.51326
1976,11,21,1.85918,-1.59796,4,2.45154
1976,11,22,2.0634401,-1.37589,4,2.48010
1976,11,23,2.2167699,-0.96271002,4,2.41679
1976,11,24,2.1325901,-0.40180999,4,2.17012
1976,11,25,2.0402901,-0.0160690993,4,2.04035
1976,12,4,1.46346,1.37928,5,2.01100
1976,12,5,1.41397,1.58652,6,2.12517
1976,12,6,1.0807101,1.69559,6,2.01071
1976,12,14,-1.64535,1.45614,8,2.19716
1976,12,15,-2.13869,0.97469002,8,2.35032
1976,12,16,-2.5789101,0.80286801,8,2.70100
1976,12,17,-2.2629499,0.37996599,8,2.29462
1977,3,12,-0.73549998,1.94844,7,2.08264
1977,3,13,-1.09596,2.09251,7,2.36215
1977,3,14,-1.20746,2.02633,7,2.35880
1977,3,15,-0.93580002,1.99825,7,2.20652
1977,4,3,-0.88756001,-1.94099,2,2.13429
1977,4,4,-0.78947002,-2.1599801,2,2.29974
1977,4,5,-0.45633,-2.1461101,2,2.19409
1977,4,7,0.68337899,-2.1819699,3,2.28648
1977,4,8,1.1115299,-2.0794599,3,2.35789
1977,4,9,1.3108799,-1.70582,3,2.15133
1977,4,10,1.69121,-1.25144,4,2.10387
1977,4,11,2.1196001,-0.84012997,4,2.28003
1977,4,12,2.3486199,-0.29956999,4,2.36765
1977,4,13,2.31795,0.38804299,5,2.35021
1977,4,14,2.0087099,0.88068098,5,2.19329
1977,4,15,1.52527,1.3675801,5,2.04859
1977,4,17,0.57711297,2.0115299,6,2.09268
1977,4,18,-0.12137,2.1588399,7,2.16225
1977,4,19,-0.94647998,2.2780099,7,2.46681
1977,4,20,-1.6526,2.1851599,7,2.73971
1977,4,21,-1.8600301,1.88065,7,2.64510
1977,4,22,-2.03705,1.40534,8,2.47479
1977,4,23,-2.0643201,0.70043999,8,2.17991
1977,9,8,1.28054,1.62535,6,2.06919
1977,9,9,0.94474202,1.76658,6,2.00333
1977,9,24,-2.0590501,-0.68921,1,2.17133
1977,9,25,-1.98783,-0.67556,1,2.09949
1977,9,26,-2.0653601,-0.69218999,1,2.17826
1977,9,27,-2.3582201,-1.0339299,1,2.57491
1977,9,28,-2.2874401,-1.32406,1,2.64302
1977,9,29,-1.93485,-1.19643,1,2.27488
1977,11,16,-0.73977,-2.0062101,2,2.13826
1977,11,17,-0.56055999,-2.5134201,2,2.57518
1977,11,18,-0.17463,-2.71117,2,2.71679
1977,11,19,0.45654199,-2.41693,3,2.45967
1978,1,14,-0.38811001,-2.1744499,2,2.20881
1978,1,15,-0.0688097998,-2.6080599,2,2.60897
1978,1,16,0.37370899,-2.7655499,3,2.79069
1978,1,17,0.99761701,-2.7072501,3,2.88521
1978,1,18,1.54922,-2.42291,3,2.87586
1978,1,19,1.73265,-2.0861199,3,2.71182
1978,1,20,2.0603299,-1.6832401,4,2.66050
1978,1,21,2.25598,-1.3674001,4,2.63803
1978,1,22,2.1357801,-1.12142,4,2.41229
1978,1,23,2.12953,-0.94383001,4,2.32932
1978,1,24,2.2214799,-0.64955997,4,2.31450
1978,1,25,2.20189,-0.18009,4,2.20925
1978,1,26,2.2320399,0.31429899,5,2.25406
1978,1,27,2.04198,0.88577998,5,2.22582
1978,1,28,2.0823801,1.2845,5,2.44668
1978,1,29,2.2237799,1.39301,5,2.62405
1978,1,30,2.04477,1.3859299,5,2.47020
1978,1,31,1.78667,1.65045,5,2.43232
1978,2,1,1.46145,1.94367,6,2.43180
1978,2,2,1.1467,2.19733,6,2.47855
1978,2,3,0.413358,2.6547501,6,2.68674
1978,2,4,-0.16831,3.01862,7,3.02331
1978,2,5,-0.74360001,2.84234,7,2.93800
1978,2,6,-1.36514,2.4270401,7,2.78462
1978,2,7,-1.73774,1.68744,8,2.42223
1978,2,8,-2.0046599,0.841088,8,2.17395
1978,2,24,-1.62318,1.22264,8,2.03213
1978,2,25,-1.72357,1.15142,8,2.07279
1978,2,26,-1.76956,1.09436,8,2.08062
1978,2,27,-1.9948699,0.80482799,8,2.15110
1978,2,28,-2.4470501,0.15578701,8,2.45201
1978,3,1,-2.72946,-0.00548571022,1,2.72946
1978,3,2,-2.6180401,-0.21089,1,2.62652
1978,3,3,-2.4362299,-0.54000998,1,2.49536
1978,3,4,-2.36745,-0.85650003,1,2.51762
1978,3,5,-2.3594601,-1.0388499,1,2.57804
1978,3,6,-1.9037,-1.47175,1,2.40626
1978,3,7,-1.32344,-2.0604401,2,2.44886
1978,3,8,-0.80700999,-2.2591801,2,2.39899
1978,3,12,1.3056999,-1.84208,3,2.25790
1978,3,13,1.37184,-2.0253401,3,2.44621
1979,1,12,-0.53951001,2.34341,7,2.40472
1979,1,13,-0.75461,2.3267901,7,2.44609
1979,1,14,-0.97725999,1.9790699,7,2.20720
1979,1,17,-0.81748003,2.2133999,7,2.35954
1979,1,18,-1.01495,2.41979,7,2.62403
1979,1,19,-1.24433,2.2994499,7,2.61454
1979,1,20,-1.70406,1.84306,7,2.51011
1979,1,21,-2.2290201,1.30446,8,2.58266
1979,1,22,-2.4181299,0.78733999,8,2.54308
1979,1,23,-2.19749,0.216461,8,2.20813
1979,1,24,-2.0982201,-0.0351940989,1,2.09852
1979,3,9,2.0468299,-0.43983999,4,2.09356
1979,3,10,2.4323101,0.180324,5,2.43898
1979,3,11,2.45823,0.506127,5,2.50979
1979,3,12,2.4562299,0.54999799,5,2.51705
1979,3,13,2.4149001,0.51318699,5,2.46882
1979,3,14,2.03386,0.36684999,5,2.06668
1979,4,5,0.97226202,-1.8062201,3,2.05127
1979,4,6,1.08772,-1.7709301,3,2.07830
1979,4,7,1.22003,-1.64809,3,2.05053
1979,4,8,1.47492,-1.39386,4,2.02934
1979,4,9,1.74307,-1.05164,4,2.03574
1979,4,10,2.0048599,-0.639,4,2.10423
1979,4,11,2.1812501,-0.0702122003,4,2.18238
1979,4,12,2.11957,0.38530499,5,2.15430
1979,4,13,1.92713,0.816414,5,2.09293
1979,4,21,-1.82699,0.88586998,8,2.03043
1979,4,22,-2.00686,0.32139999,8,2.03244
1979,5,25,-1.56787,1.35315,8,2.07104
1979,5,26,-2.17415,1.3489,8,2.55860
1979,5,27,-2.4123199,0.96657801,8,2.59876
1979,5,28,-2.5787599,0.41446,8,2.61185
1979,5,29,-2.34565,0.39014399,8,2.37788
1979,5,30,-2.21681,0.173839,8,2.22362
1979,5,31,-2.0160501,0.075006403,8,2.01744
1979,6,2,-2.23457,-0.29958999,1,2.25456
1979,6,3,-2.28882,-0.54163998,1,2.35203
1979,6,4,-2.3154299,-0.93699998,1,2.49784
1979,6,5,-1.91313,-1.15387,1,2.23416
1979,8,2,2.0661399,0.25404099,5,2.08170
1979,8,3,2.3949201,0.73668301,5,2.50566
1979,8,4,2.27139,1.05282,5,2.50352
1979,8,5,2.1329501,1.31422,5,2.50532
1979,8,6,1.88045,1.27437,5,2.27159
1979,8,7,1.76167,1.46708,5,2.29255
1979,8,8,1.4016,1.95303,6,2.40391
1979,8,9,0.95945698,2.0517099,6,2.26497
1979,8,10,0.79421997,2.01087,6,2.16203
1979,8,14,-0.23035,2.0337501,7,2.04675
1979,8,18,-1.7321301,1.37817,8,2.21351
1979,8,19,-2.1744001,0.93729299,8,2.36781
1979,8,20,-2.3368001,0.64158899,8,2.42327
1979,8,21,-2.17784,0.26483399,8,2.19388
1979,8,24,-2.1470499,-0.86206001,1,2.31364
1979,8,25,-2.3203199,-0.86605,1,2.47668
1979,8,26,-2.31129,-0.86698997,1,2.46855
1979,8,27,-2.7312601,-1.02018,1,2.91557
1979,8,28,-2.88626,-1.08144,1,3.08221
1979,8,29,-2.6187401,-1.01265,1,2.80771
1979,8,30,-2.30655,-1.0210201,1,2.52243
1979,8,31,-2.0969801,-0.97486001,1,2.31251
1979,9,1,-1.92808,-1.0669301,1,2.20359
1979,9,24,2.27788,-0.3845,4,2.31010
1979,9,25,2.51548,-0.10634,4,2.51773
1979,9,26,2.8959899,0.48167601,5,2.93577
1979,9,27,2.9349301,0.77542698,5,3.03564
1979,9,28,2.8910501,1.06898,5,3.08235
1979,9,29,2.9312799,1.3216799,5,3.21547
1979,9,30,3.08868,1.51052,5,3.43825
1979,10,1,2.8712299,1.62181,5,3.29761
1979,10,2,2.6275001,1.6891201,5,3.12360
1979,10,3,2.4047201,2.05108,5,3.16063
1979,10,4,2.3889301,2.2929299,5,3.31127
1979,10,5,2.23703,2.158,5,3.10826
1979,10,6,1.82105,1.9857399,6,2.69432
1979,10,7,1.4049,1.93168,6,2.38854
1979,10,19,-1.68565,1.14174,8,2.03593
1979,10,20,-1.90825,1.03187,8,2.16938
1979,10,21,-1.96279,0.72150499,8,2.09120
1979,11,17,0.00479265023,-2.1203899,3,2.12039
1979,11,18,0.17264,-2.11972,3,2.12673
1979,11,19,0.33238101,-1.9943,3,2.02181
1979,11,20,0.456283,-2.1754999,3,2.22283
1979,11,21,0.82350999,-2.0122099,3,2.17420
1979,11,22,0.94504797,-1.83014,3,2.05974
1979,11,23,1.1222301,-1.8532701,3,2.16657
1980,3,29,-1.1851799,1.66754,7,2.04581
1980,3,30,-1.86396,1.54808,8,2.42299
1980,3,31,-2.4639201,1.49018,8,2.87950
1980,4,1,-2.3533299,1.09376,8,2.59508
1980,4,2,-2.3154299,0.64704299,8,2.40414
1980,4,3,-2.0057099,0.222192,8,2.01798
1980,4,13,1.15201,-1.8262,3,2.15920
1980,4,14,1.66438,-1.57847,4,2.29385
1980,4,15,1.92404,-1.16518,4,2.24935
1980,4,16,2.11116,-0.62755001,4,2.20246
1980,4,17,2.1045499,-0.1143,4,2.10765
1980,4,20,1.53982,1.32594,5,2.03204
1980,4,21,1.2665,1.54891,6,2.00078
1981,2,20,-1.12666,1.70502,7,2.04364
1981,3,1,-0.75185001,1.87484,7,2.01998
1981,3,2,-1.18979,1.9529901,7,2.28687
1981,3,3,-1.70899,2.0025899,7,2.63268
1981,3,4,-1.95346,1.60142,8,2.52598
1981,3,5,-2.1570599,1.23315,8,2.48467
1981,3,6,-2.3473201,1.35926,8,2.71247
1981,3,7,-2.36515,1.51551,8,2.80904
1981,3,8,-2.2356801,1.27005,8,2.57125
1981,3,9,-2.0673299,1.11215,8,2.34750
1981,3,10,-1.8576601,0.91600001,8,2.07122
1981,3,12,-2.0792401,0.600236,8,2.16415
1981,3,13,-2.57359,0.623694,8,2.64809
1981,3,14,-2.93683,0.25226399,8,2.94765
1981,3,15,-3.0385799,0.0615812019,8,3.03921
1981,3,16,-2.7950301,-0.1348,1,2.79828
1981,3,17,-2.6388199,-0.41154,1,2.67072
1981,3,18,-2.59512,-1.00778,1,2.78393
1981,3,19,-2.56358,-1.40596,1,2.92381
1981,3,20,-2.4274001,-1.82013,1,3.03400
1981,3,21,-2.0980699,-1.86913,1,2.80990
1981,3,22,-1.62807,-2.08955,2,2.64893
1981,3,23,-1.16278,-2.4386499,2,2.70168
1981,3,24,-0.91303998,-2.85147,2,2.99408
1981,3,25,-0.61821002,-2.7014599,2,2.77129
1981,3,26,-0.22821,-2.8417799,2,2.85093
1981,3,27,0.10018,-3.0360899,3,3.03774
1981,3,28,0.54051399,-3.1234601,3,3.16988
1981,3,29,0.78038502,-2.8735499,3,2.97763
1981,3,30,0.94356,-2.66272,3,2.82495
1981,3,31,1.36584,-2.5479801,3,2.89097
1981,4,1,1.7405601,-2.39395,3,2.95982
1981,4,2,2.0764201,-2.2600901,3,3.06913
1981,4,3,2.1754,-2.0556099,4,2.99298
1981,4,4,2.3432801,-1.85467,4,2.98844
1981,4,5,2.6378801,-1.70723,4,3.14214
1981,4,6,2.8187201,-1.55995,4,3.22159
1981,4,7,2.62729,-1.15734,4,2.87090
1981,4,8,2.1612,-0.62628001,4,2.25012
1981,4,9,2.03297,0.170756,5,2.04013
1981,4,10,2.00688,0.56395602,5,2.08462
1981,4,29,-2.0572901,0.268235,8,2.07470
1981,4,30,-2.3615799,-0.31064999,1,2.38192
1981,5,1,-2.55003,-0.48541999,1,2.59582
1981,5,2,-2.25085,-0.72490001,1,2.36470
1981,5,4,-1.63797,-1.21254,1,2.03794
1981,5,5,-1.49988,-1.3249201,1,2.00126
1981,7,31,1.7502,1.23944,5,2.14463
1981,8,1,1.74573,1.47334,5,2.28436
1981,8,2,1.46331,1.80957,6,2.32719
1981,8,3,1.37831,2.1452501,6,2.54987
1981,8,4,1.40332,2.1799901,6,2.59262
1981,8,5,1.46875,1.9198999,6,2.41728
1981,8,6,1.19036,1.68657,6,2.06434
1981,9,2,-0.70402998,-1.87509,2,2.00290
1981,9,4,-0.17124,-2.00512,2,2.01242
1981,9,5,-0.14844,-2.20209,2,2.20709
1981,9,21,2.0892799,0.35234001,5,2.11878
1981,9,22,2.12293,0.49933201,5,2.18086
1981,9,23,2.07094,0.55554801,5,2.14416
1981,9,26,1.8920799,0.96837699,5,2.12550
1981,9,27,1.86332,1.35842,5,2.30592
1981,9,28,1.59954,1.4645,5,2.16871
1981,12,8,1.94928,0.65052903,5,2.05496
1981,12,11,1.07005,1.70078,6,2.00939
1982,4,9,-1.6950001,1.07625,8,2.00782
1982,4,10,-1.8988,0.68922102,8,2.02002
1982,5,25,-1.53263,-1.41474,1,2.08577
1982,5,26,-1.16848,-1.64572,2,2.01835
1982,5,27,-0.63472003,-1.90921,2,2.01195
1982,5,29,0.58639902,-1.96051,3,2.04633
1982,5,30,1.15924,-1.7805001,3,2.12462
1982,12,23,0.196282,-2.11813,3,2.12720
1982,12,24,0.00272646011,-2.0660601,3,2.06606
1983,9,4,-1.5291899,-1.3108,1,2.01411
1983,11,22,0.24206699,2.00773,6,2.02227
1983,11,23,-0.10793,2.0780799,7,2.08088
1983,11,24,-0.51292998,2.24422,7,2.30209
1984,7,23,1.67659,1.3796099,5,2.17123
1984,8,4,1.17826,1.69095,6,2.06097
1984,8,5,1.33938,1.56364,6,2.05886
1984,8,6,1.41364,1.45988,6,2.03215
1984,8,9,1.07175,1.73595,6,2.04015
1984,8,10,1.1684999,2.16696,6,2.46193
1984,8,11,1.0980901,2.0372701,6,2.31436
1984,8,12,0.86106902,2.2996199,6,2.45554
1984,8,13,0.62370199,2.3460801,6,2.42757
1984,8,14,0.57243198,2.1875,6,2.26116
1984,9,15,-1.6576,1.76021,7,2.41784
1984,9,16,-1.7288899,1.8005199,7,2.49618
1984,9,17,-1.49044,1.41493,8,2.05510
1984,10,29,-1.96261,0.389689,8,2.00093
1984,10,30,-2.1912,0.29237199,8,2.21062
1984,10,31,-2.47651,0.0375075005,8,2.47679
1984,11,1,-2.71119,-0.31064999,1,2.72892
1984,11,2,-2.72328,-0.42313001,1,2.75595
1984,11,3,-2.4175999,-0.55982,1,2.48157
1984,11,4,-2.2452099,-0.55901998,1,2.31375
1984,11,5,-2.2469299,-0.64012003,1,2.33633
1984,11,6,-2.23457,-0.82656002,1,2.38254
1984,11,7,-2.2913899,-0.97241002,1,2.48919
1984,11,8,-2.2325599,-1.23116,1,2.54953
1984,11,9,-2.2546501,-1.40514,1,2.65666
1984,11,10,-2.19261,-1.58278,1,2.70420
1984,11,11,-2.1177299,-1.91878,1,2.85770
1984,11,12,-1.63182,-2.07932,2,2.64318
1984,11,13,-1.08994,-2.17115,2,2.42937
1984,11,14,-0.59088999,-2.0033801,2,2.08870
1984,11,27,-1.0052201,-1.83979,2,2.09650
1984,11,28,-0.53105998,-2.17979,2,2.24355
1984,11,29,0.0675548986,-2.2941301,3,2.29513
1984,11,30,0.348777,-2.18205,3,2.20975
1984,12,1,0.67295802,-1.96479,3,2.07684
1984,12,2,0.89846998,-1.81802,3,2.02792
1984,12,3,1.29488,-1.6390899,3,2.08886
1985,1,21,-2.0689399,0.473185,8,2.12236
1985,1,22,-2.4365499,0.14756501,8,2.44102
1985,1,23,-2.2174101,-0.11185,1,2.22022
1985,1,26,-1.52877,-1.50834,1,2.14761
1985,1,27,-1.22632,-1.62561,2,2.03629
1985,1,28,-1.13537,-1.97252,2,2.27594
1985,1,29,-1.0921201,-1.89308,2,2.18551
1985,1,30,-1.06156,-1.9665101,2,2.23474
1985,1,31,-0.97850001,-2.4240601,2,2.61410
1985,2,1,-0.83362001,-2.68975,2,2.81596
1985,2,2,-0.51511002,-2.8468699,2,2.89310
1985,2,3,-0.0316537991,-3.2051401,2,3.20529
1985,2,4,0.41659299,-3.23001,3,3.25677
1985,2,5,0.68876898,-3.2132101,3,3.28620
1985,2,6,0.95110297,-2.9811399,3,3.12919
1985,2,7,1.2101099,-2.8878701,3,3.13116
1985,2,8,1.5565,-2.85987,3,3.25600
1985,2,9,2.1935301,-2.8884301,3,3.62693
1985,2,10,2.4091301,-2.72962,3,3.64071
1985,2,11,2.51404,-2.67816,3,3.67327
1985,2,12,2.7758901,-2.57446,4,3.78594
1985,2,13,3.2945499,-2.2900701,4,4.01229
1985,2,14,3.6475599,-1.68045,4,4.01604
1985,2,15,3.7341199,-1.21062,4,3.92546
1985,2,16,3.9135699,-0.75141001,4,3.98505
1985,2,17,3.9406099,-0.34476,4,3.95566
1985,2,18,3.86461,0.146819,5,3.86740
1985,2,19,3.88445,0.52487701,5,3.91975
1985,2,20,3.40502,0.90369898,5,3.52290
1985,2,21,2.7511799,1.25099,5,3.02225
1985,2,22,1.84486,1.44394,5,2.34275
1985,3,5,1.30292,1.7055399,6,2.14627
1985,3,6,0.934497,2.10307,6,2.30135
1985,3,7,0.53480798,2.2416101,6,2.30453
1985,3,8,-0.0154956998,2.4621401,7,2.46218
1985,3,9,-0.40040001,2.5339,7,2.56534
1985,3,10,-0.85354,2.0576999,7,2.22770
1985,3,11,-1.1677901,1.64478,7,2.01719
1985,3,12,-1.37641,1.5763299,7,2.09268
1985,6,19,2.1047101,0.32402301,5,2.12950
1985,6,20,1.96854,0.61959898,5,2.06375
1985,6,21,1.6835901,1.13903,5,2.03270
1985,6,22,1.73985,1.28799,5,2.16472
1985,6,23,1.51206,1.44936,5,2.09451
1985,6,26,0.38755399,2.1289401,6,2.16392
1985,10,23,-1.62815,1.46137,8,2.18780
1985,10,24,-2.23385,1.42388,8,2.64906
1985,10,25,-2.5314801,1.17567,8,2.79116
1985,10,26,-2.6540999,1.05024,8,2.85434
1985,10,27,-2.6907899,0.85118902,8,2.82221
1985,10,28,-2.68207,0.65903401,8,2.76185
1985,10,29,-2.72667,0.380371,8,2.75308
1985,10,30,-2.75014,-0.1028,1,2.75206
1985,10,31,-2.6788399,-0.62044001,1,2.74975
1985,11,1,-2.33145,-1.1701,1,2.60860
1985,11,2,-2.0038099,-1.73004,1,2.64732
1985,11,3,-1.77306,-1.94144,2,2.62925
1985,11,4,-1.14812,-2.0005901,2,2.30663
1985,11,5,-0.52783,-2.0925701,2,2.15811
1985,11,6,0.00357809011,-2.02847,3,2.02848
1985,12,31,-0.56629002,-2.04286,2,2.11990
1986,1,3,0.0329149999,-2.4015,3,2.40172
1986,1,4,0.49274299,-2.4921601,3,2.54041
1986,1,5,0.58510602,-2.7686601,3,2.82981
1986,1,6,0.66501302,-3.1388299,3,3.20851
1986,1,7,0.99160099,-3.2551401,3,3.40282
1986,1,8,1.2806,-3.3624799,3,3.59808
1986,1,9,1.64219,-3.0454199,3,3.45997
1986,1,10,2.0410199,-2.56214,3,3.27571
1986,1,11,2.4410701,-1.9613,4,3.13138
1986,1,12,2.4760101,-1.43378,4,2.86118
1986,1,13,2.7212999,-0.87971997,4,2.85996
1986,1,14,2.8857801,-0.48996001,4,2.92707
1986,1,15,2.7788301,-0.14445999,4,2.78258
1986,1,16,2.5980599,-0.0686073005,4,2.59896
1986,1,17,2.43572,0.27788901,5,2.45152
1986,1,18,2.1391301,0.457679,5,2.18754
1986,1,20,1.69063,1.09433,5,2.01390
1986,1,24,0.64150703,2.0611701,6,2.15869
1986,1,25,0.395785,2.07816,6,2.11552
1986,3,6,-0.48657,-2.0634401,2,2.12003
1986,3,7,-0.52768999,-2.1816199,2,2.24453
1986,3,8,-0.83638,-2.3813801,2,2.52398
1986,3,9,-1.07669,-2.4558101,2,2.68147
1986,3,10,-1.06089,-2.55984,2,2.77097
1986,3,11,-1.11452,-2.7199199,2,2.93941
1986,3,12,-0.78974998,-2.8380401,2,2.94587
1986,3,13,-0.57130003,-2.8970599,2,2.95285
1986,3,14,-0.053379599,-3.0045099,2,3.00498
1986,3,15,0.40376401,-2.8306899,3,2.85934
1986,3,16,0.77180099,-2.7225599,3,2.82984
1986,3,17,1.24243,-2.55674,3,2.84263
1986,3,18,1.3616,-2.4130499,3,2.77070
1986,3,19,1.28877,-2.30003,3,2.63648
1986,3,20,1.32093,-2.15467,3,2.52734
1986,3,21,1.45008,-1.87027,3,2.36656
1986,3,22,1.50858,-1.40843,4,2.06385
1986,3,23,1.77756,-1.24808,4,2.17196
1986,3,24,1.74239,-1.05655,4,2.03770
1986,5,10,0.72857302,1.8918101,6,2.02725
1986,5,22,-0.99378002,1.96655,7,2.20339
1986,5,23,-1.3008699,2.0471599,7,2.42551
1986,5,24,-1.63603,1.93188,7,2.53155
1986,5,25,-2.0206101,1.19866,8,2.34940
1986,5,26,-2.13415,0.52257299,8,2.19719
1986,5,27,-2.4324999,0.129742,8,2.43596
1986,5,28,-2.49895,0.099877201,8,2.50094
1986,5,29,-2.1986799,0.0423354991,8,2.19909
1986,5,30,-2.0771501,-0.0235134996,1,2.07728
1986,6,20,1.8868001,0.69334,5,2.01016
1986,6,21,1.8900501,0.85449803,5,2.07423
1986,6,22,1.77465,1.3116,5,2.20674
1986,6,23,1.7042201,1.63304,5,2.36034
1986,6,24,1.26012,1.7121,6,2.12584
1986,7,1,-0.99673998,1.80137,7,2.05874
1986,8,5,1.47004,1.36645,5,2.00704
1986,8,6,1.38002,1.66714,6,2.16421
1986,8,7,1.166,1.66301,6,2.03105
1986,8,8,1.09191,1.68084,6,2.00437
1986,8,13,0.79546797,1.94039,6,2.09711
1986,8,14,0.57086599,2.1326399,6,2.20772
1986,8,15,0.53249002,2.1060901,6,2.17236
1986,10,28,0.504094,-2.0064199,3,2.06878
1986,10,29,0.84119999,-2.2378299,3,2.39071
1986,10,30,0.96180701,-2.34407,3,2.53372
1986,10,31,1.1734,-2.28443,3,2.56817
1986,11,1,1.52003,-2.3111701,3,2.76623
1986,11,2,1.69848,-2.2418001,3,2.81256
1986,11,3,1.89219,-1.99448,3,2.74924
1986,11,4,1.9853899,-1.59377,4,2.54596
1986,11,5,2.0125599,-1.18682,4,2.33643
1986,11,6,2.1077299,-0.83203,4,2.26601
1986,11,7,2.2609899,-0.71076,4,2.37008
1986,11,8,2.31743,-0.64826,4,2.40639
1986,11,9,2.1206801,-0.86012,4,2.28847
1986,11,10,2.15711,-0.54601002,4,2.22514
1986,11,26,-2.1696,-0.38453999,1,2.20342
1987,2,5,-0.48536,2.1175799,7,2.17249
1987,2,6,-0.77223998,2.0249901,7,2.16724
1987,2,28,-0.50005001,1.9851201,7,2.04713
1987,3,2,-1.4837,1.40324,8,2.04217
1987,3,28,-1.8004301,-1.04162,1,2.08003
1987,3,29,-1.7934,-1.13671,1,2.12330
1987,3,30,-1.74198,-1.23166,1,2.13342
1987,5,16,-1.6069,1.92301,7,2.50601
